Participant ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,IP Province,IP City,IP Address,Browser,Operating System
1,1,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,3,无,北京市,北京市,36.112.176.34,Chrome 126.0.6478.188,Android Linux 14
2,1,1,2,3,1,2,2,1,2,2,1,1,2,1,3,2,2,无,北京市,北京市,36.112.193.235,Chrome 126.0.6478.188,Android Linux 14
3,1,1,2,3,1,2,2,1,2,1,1,1,3,2,2,2,1,无,北京市,北京市,221.216.116.24,Unknown Browser,iPhone iOS 17.0.3
4,1,1,2,2,2,1,2,3,2,2,1,1,3,4,1,2,1,对注释部分的代码单独处理，如果代码中重复出现了类似的结构，比如说 case1 和 case2 这种情况，我认为是易读易理解的,北京市,北京市,223.104.40.34,Unknown Browser,iPhone iOS 17.6.1
5,2,1,5,5,1,1,3,1,1,2,1,3,3,1,1,1,3,无,北京市,北京市,223.104.41.96,Unknown Browser,iPhone iOS 17.4
6,2,1,4,4,2,1,2,2,2,2,1,3,2,2,3,1,2,无,浙江省,杭州市,42.120.75.56,Unknown Browser,iPhone iOS 18.0.1
7,2,1,4,4,2,2,2,1,3,2,2,1,3,2,2,3,2,框架集成难易程度与安全性,天津市,天津市,221.197.234.59,Unknown Browser,iPhone iOS 16.7.10
8,2,1,4,4,2,1,2,1,1,2,2,2,1,2,3,2,2,安全吗，可靠吗？,北京市,北京市,1.202.26.226,Unknown Browser,iPhone iOS 18.1
9,2,1,4,4,1,1,1,2,1,1,2,3,2,1,1,4,1,继续保持,四川省,成都市,221.237.152.89,Chrome 122.0.0.0,Windows Wechat(0x63090a13
10,2,1,4,5,2,2,2,1,1,2,2,1,2,4,2,1,2,无,北京市,北京市,220.181.3.158,Unknown Browser,iPhone iOS 18.0.1
11,1,1,2,2,2,2,4,3,3,3,2,2,2,2,2,2,2,可以给出更简单易懂的对从图中判断代码可读性的方法，例如如果控制流边有复杂的交叉关系时，代码更有可能不可读。,北京市,北京市,114.246.236.208,Unknown Browser,iPhone iOS 18.1
12,1,1,2,2,1,1,2,3,3,4,1,1,1,2,1,1,2,分析框架提供的可视化解释最好能转换为自然语言而非图片,北京市,北京市,124.127.66.205,Chrome 126.0.6478.188,Android Linux 12
13,1,1,2,2,1,1,2,3,2,1,1,1,1,1,1,1,2,无建议,北京市,北京市,223.72.84.72,Chrome 130.0.0.0,Windows 10
14,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,简化介绍流程,北京市,北京市,223.72.81.137,ChromiumEdge 126.0.0.0,Windows 10
15,1,1,2,3,2,1,4,3,4,4,2,1,2,2,3,3,3,可视化标注在重点边过多时略显混乱,北京市,北京市,221.216.116.238,Unknown Browser,iPhone iOS 18.0
16,1,2,2,2,2,2,1,2,2,1,2,2,3,2,1,2,2,有些图片的可以换个方向展示使得不同颜色的边重复的较少更加清楚吗？,北京市,北京市,223.72.83.124,Chrome 122.0.0.0,Windows Wechat(0x63090c11
17,1,1,2,2,1,2,4,2,2,2,1,1,2,2,1,1,3,代码上的关键边多展示一种维度读起来会舒服很多，比如层数低的AST边颜色浅，层数深的AST边颜色深；递进的data颜色浅，混乱的data颜色深，这样不用看文字解释各种定义，不会找不到该关注的重点,北京市,北京市,223.72.29.241,Chrome 126.0.6478.188,Android Linux 12
18,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,无,北京市,北京市,223.104.41.0,Chrome 126.0.6478.188,Android Linux 12
19,1,1,2,2,2,4,2,2,4,2,4,4,2,4,2,1,3,无,北京市,北京市,223.104.40.77,Chrome 126.0.6478.188,Android Linux 12
20,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,没啦,北京市,北京市,223.104.40.182,Unknown Browser,iPhone iOS 17.6
21,2,2,4,5,1,1,1,1,2,1,1,1,1,1,1,1,1,无建议,北京市,北京市,114.247.149.50,Unknown Browser,iPhone iOS 17.6
22,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,无,北京市,北京市,125.34.41.88,Unknown Browser,IPad iOS 17.6.1
23,2,1,4,4,1,1,1,2,2,1,1,2,1,1,1,1,2,无,北京市,北京市,223.160.131.140,Chrome 126.0.6478.188,Android Linux 12
24,1,2,2,3,1,1,2,1,3,2,2,1,2,2,2,1,2,无,北京市,北京市,121.69.8.210,Chrome 107.0.0.0,MacOS Macintosh X 10.15.7
25,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,感觉很好,北京市,北京市,36.112.193.166,Unknown Browser,iPhone iOS 18.0.1
26,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,很好,香港特别行政区,,42.200.124.201,Unknown Browser,IPad iOS 17.6.1
27,1,1,2,1,3,3,3,3,3,3,3,3,3,3,3,3,4,无,湖南省,长沙市,119.39.54.83,Unknown Browser,iPhone iOS 17.3.1
28,1,2,2,2,4,2,3,3,3,3,2,3,3,5,4,3,2,无,北京市,北京市,203.93.11.237,Chrome 126.0.6478.188,Android Linux 14
29,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,北京市,北京市,123.118.172.154,Unknown Browser,iPhone iOS 18.1
30,1,1,2,4,2,2,1,3,2,2,2,1,3,2,3,2,2,可以提高一下适用性,北京市,北京市,117.129.56.23,Chrome 126.0.6478.188,Android Linux 14
31,1,1,2,3,3,2,2,5,2,2,2,2,2,2,1,2,2,无,北京市,北京市,114.254.0.69,Unknown Browser,iPhone iOS 17.6.1
32,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,暂无,北京市,北京市,223.104.41.138,Chrome 126.0.6478.188,Android Linux 12
33,1,1,2,1,2,3,3,2,2,2,2,1,2,2,2,2,2,无,四川省,达州市,223.86.114.58,Chrome 126.0.6478.188,Android Linux 10
34,1,1,2,2,1,2,1,1,3,4,1,1,1,1,1,1,1,可以加上变量命名是否合理,北京市,北京市,36.112.206.31,Chrome 126.0.6478.188,Android Linux 14
35,2,1,4,5,2,1,1,2,2,2,2,1,2,1,1,2,3,很好,北京市,北京市,111.206.145.5,Chrome 130.0.6723.73,Android Linux 14
36,2,1,3,4,2,1,2,2,2,1,2,1,1,2,1,2,2,是个不错的分析思路，没有建议,北京市,北京市,111.206.96.145,Chrome 130.0.0.0,MacOS Macintosh X 10.15.7
37,2,1,4,1,1,1,1,1,2,1,2,1,1,2,1,1,1,不知道,山东省,临沂市,39.67.96.216,Unknown Browser,iPhone iOS 18.1
38,2,1,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,无,北京市,北京市,223.104.41.109,Chrome 126.0.6478.188,Android Linux 14
39,2,1,4,4,2,2,2,3,2,2,3,1,2,3,2,2,2,无,北京市,北京市,106.120.127.5,Chrome 122.0.6261.95,Windows 10
40,2,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,无,河北省,唐山市,106.119.55.146,Unknown Browser,iPhone iOS 18.0.1
41,2,1,4,5,1,1,2,1,2,1,2,1,1,1,3,1,1,好,北京市,北京市,114.246.236.94,Chrome 100.0.4896.58,Android Linux 15
42,2,1,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,ide插件,北京市,北京市,223.104.38.161,Chrome 126.0.6478.188,Android Linux 12
43,2,1,4,5,1,1,2,1,2,1,1,1,1,1,1,1,1,太好啦，学到了很多，多做点类似的东西,陕西省,咸阳市,113.142.183.133,Chrome 126.0.6478.188,Android Linux 12
